965 866
273 474 396
930 254 428
47 586 -812
261 708 -663
772 522 -8
428 655 417
451 825 344
131 214 -447
53 239 -525
808 538 993
273 445 -546
322 498 -129
749 758 573
927 276 -174
146 425 676
634 219 -885
957 355 590
110 72 -870
488 663 -881
633 434 744
5 40 -775
660 257 130
334 738 445
759 409 647
166 746 492
335 583 912
112 394 377
278 603 -209
735 905 -979
703 395 309
132 188 622
236 692 -104
184 813 -766
1 892 -566
127 388 451
55 787 -553
330 138 899
338 578 -140
594 440 430
706 928 -375
477 624 100
543 943 551
504 666 -195
425 707 -195
766 467 480
18 451 -355
347 857 -924
236 673 939
78 391 977
451 686 829
603 314 -696
63 103 -128
454 552 -583
206 78 -666
679 602 -414
396 188 438
535 915 650
237 320 -616
74 931 489
240 212 280
571 191 671
109 314 -765
699 600 212
274 179 -433
493 542 136
447 402 -130
782 181 -410
119 191 216
16 261 576
756 500 -905
766 106 -104
815 146 -286
548 934 698
98 762 -701
643 106 -755
780 535 -90
709 52 147
494 3 -760
708 690 154
810 556 -300
286 119 449
128 751 -684
714 892 300
487 510 808
219 641 582
733 348 -236
575 962 2
380 580 -276
229 800 436
71 406 128
629 713 398
943 450 430
702 872 -995
884 428 -171
763 457 -816
404 439 183
739 336 316
641 383 -423
899 122 -85
923 895 -546
638 354 790
172 670 226
760 211 -120
794 928 -365
329 749 390
703 403 -340
3 573 171
279 247 -763
616 70 585
344 125 627
59 742 -13
331 889 -597
644 763 -628
212 839 -987
322 453 -524
503 828 -804
895 278 515
149 745 700
82 905 -901
704 382 433
136 801 907
831 580 162
890 714 -638
635 361 -353
202 466 -140
764 701 -331
59 737 756
889 960 488
695 20 549
602 225 -860
330 273 726
790 181 809
660 100 832
684 248 661
147 515 -500
888 328 -203
672 79 -177
216 489 -649
566 63 634
231 37 669
108 871 -715
629 407 -535
456 686 -924
285 862 814
220 761 -489
468 116 62
407 207 265
343 92 -163
903 532 147
620 519 83
542 20 34
224 905 325
938 253 -74
718 720 98
678 847 -622
278 855 737
879 211 321
210 694 -52
695 132 970
617 27 -917
43 212 541
857 901 -627
64 568 -62
911 203 -943
385 534 -238
718 870 390
209 931 430
144 764 -9
24 954 250
713 908 623
880 662 -480
931 724 -832
740 178 -907
80 808 -419
723 268 -212
299 397 -675
154 696 632
699 493 624
557 455 207
427 338 613
959 239 -540
245 770 271
899 817 655
205 32 -839
576 7 16
807 828 -884
17 386 219
600 181 121
681 545 180
330 191 -570
229 670 -915
233 22 541
776 124 -255
344 465 776
564 681 821
360 491 -726
852 577 410
143 6 -306
442 460 613
471 851 -322
18 520 -476
270 192 -663
932 592 380
434 77 68
384 756 384
821 284 -13
362 576 -652
6 600 711
639 568 939
884 379 458
106 119 147
171 553 -578
359 219 877
644 862 -540
876 684 -396
645 826 350
669 831 -858
491 388 -733
3 720 206
154 828 549
334 440 819
233 717 -420
775 644 491
694 141 107
410 851 -627
569 922 -920
191 861 -71
571 631 976
799 301 -70
315 710 309
358 895 277
938 599 -759
826 175 -620
283 867 -401
330 78 -886
697 454 38
261 877 -23
396 149 427
436 547 919
221 361 -166
178 7 117
731 676 343
879 861 -73
5 728 -704
743 859 499
454 754 763
56 447 -890
288 446 328
280 2 3
955 103 -383
615 248 350
420 550 -107
906 953 391
566 611 -115
330 684 934
34 98 -961
787 366 -450
889 887 -796
960 586 -979
208 172 258
181 733 579
497 898 -473
898 578 765
324 553 846
110 544 1
434 196 -626
736 952 -749
426 880 -778
586 287 48
704 779 589
563 324 514
509 195 -833
943 950 -592
547 830 414
803 597 196
79 571 227
673 685 -575
581 3 -35
657 91 316
60 287 995
161 907 -704
956 205 726
126 830 710
675 78 794
314 39 -869
200 785 -544
786 400 -381
933 50 408
274 727 1
617 778 894
329 846 -408
700 410 -593
848 76 -445
82 353 409
897 237 -311
282 518 55
406 619 741
938 570 745
630 447 -29
260 931 330
637 174 -333
390 910 -295
50 572 -89
945 260 771
587 797 836
78 402 145
178 918 662
801 386 23
229 591 -863
944 527 146
548 731 796
344 688 -160
755 691 831
824 874 320
103 687 791
820 73 -111
855 818 -745
831 688 -632
247 39 842
96 355 412
591 965 -238
805 739 -639
243 255 692
73 233 -580
720 612 936
361 454 815
667 166 335
312 308 653
302 573 746
929 267 850
742 152 675
901 549 265
728 131 567
335 568 873
641 874 -133
142 508 989
395 42 157
127 248 -983
869 10 378
952 468 88
430 243 -736
596 112 84
576 220 -833
708 161 -393
875 731 -368
7 237 -25
516 373 502
219 132 805
215 34 366
837 854 407
437 382 -650
368 834 -859
223 161 10
241 122 -726
915 280 -443
896 137 180
301 606 -533
36 206 -645
483 337 -328
339 704 -674
591 482 -429
862 657 -927
759 513 954
354 96 -906
345 461 767
510 521 -518
237 71 43
510 746 -458
788 8 435
957 428 164
154 124 388
882 445 -234
494 876 -922
349 755 -949
669 59 774
197 62 -448
776 38 42
85 940 -72
750 944 -538
805 231 -557
602 322 -742
217 754 -152
398 460 350
957 58 -686
72 683 945
166 6 -830
644 323 -623
337 322 -324
232 251 713
894 269 8
539 5 646
159 694 -43
517 192 517
718 132 431
557 69 -567
148 406 438
210 841 -632
38 148 -639
541 365 304
77 676 306
315 926 31
223 759 -674
787 232 468
861 862 876
906 314 577
412 408 53
511 881 -575
916 386 412
637 571 35
867 817 490
488 111 191
300 236 277
291 180 -564
612 192 44
47 918 -718
139 115 94
864 206 -96
557 283 -577
750 663 -899
558 203 -505
359 354 943
167 779 -120
425 413 496
316 466 676
268 300 -33
322 583 -849
9 693 -389
313 409 140
264 891 -826
399 566 -440
121 285 -468
161 752 -974
8 246 506
848 768 -193
644 38 618
479 403 727
89 171 -261
439 314 773
862 726 -823
185 958 829
827 492 156
713 535 318
441 304 -528
713 392 -733
892 71 -6
939 961 979
209 392 -15
374 488 -951
