9687 27657
3413 554 802
1587 61 -834
1889 9453 515
2510 141 -293
8451 6798 357
51 8466 -736
4164 8819 -506
6244 6662 443
575 7533 -677
733 7786 -340
250 2994 599
4965 7199 967
1325 2985 -336
4363 5574 -890
335 6292 511
8026 2014 647
3211 6802 -971
6503 8639 -731
8194 2447 -599
1594 213 78
6770 4263 43
8248 357 706
5729 9644 173
7679 2025 -488
7578 8916 -7
3091 1681 -172
9566 8022 -620
1365 9592 -894
4610 7502 213
204 1872 -566
4308 6768 302
2198 5271 -521
8063 2205 -4
3993 5323 -734
8282 6934 246
1973 5065 391
181 1618 722
9282 8068 578
7523 6160 -263
3209 3763 -866
9256 604 -419
6967 5490 -685
8620 5328 -478
1183 1030 83
7757 7669 -469
4370 2261 621
1847 8637 -112
5905 8767 -876
8740 8046 -557
7424 1895 161
6205 5319 1
2197 3124 66
9283 7684 -365
8560 7200 404
3641 3652 -9
2799 9208 -108
6364 52 -141
9670 298 -557
8927 8739 -172
5952 6889 518
556 1053 -995
9658 1506 -991
4527 711 -370
7018 6494 352
8503 7911 421
522 2771 -458
9635 9528 321
1208 3200 840
8351 1923 -577
2703 8436 827
4143 1879 267
539 6878 712
8853 4478 -940
860 2630 -668
8261 5437 -628
2783 8968 587
5674 6937 559
4730 5949 258
8950 2185 -855
3850 7103 911
3472 7496 -346
1304 3164 -692
2853 1533 -692
5359 3957 -640
6176 3712 673
9651 2368 29
5894 2613 -994
6965 6772 6
5405 1384 727
7488 1091 14
5462 1290 -993
324 3123 199
3444 7663 596
4221 5006 -755
4237 3886 190
6134 185 737
3423 2106 307
8000 4126 367
6456 370 125
6030 6307 969
3518 5322 -302
1645 3633 -578
637 3977 -758
2203 8044 34
2397 2545 -906
6763 9339 831
9245 9226 -911
3791 6681 260
6747 1018 -993
8278 7340 -69
2673 6818 -691
2459 1252 -864
9294 8367 -535
2674 3413 -487
1219 8402 -76
6052 7689 103
8675 2986 -856
9491 1010 997
9326 3013 -326
6782 5911 -987
9386 8976 -701
6681 1202 813
8619 9071 -475
6534 4503 420
8451 2753 -597
8256 1997 45
1674 2193 233
3441 8246 433
8334 6588 -934
774 310 -4
8265 4041 -842
9239 9554 -221
2681 7810 -478
610 8953 879
6547 4921 144
1883 1085 -471
2258 1749 21
9638 1100 -68
7796 3975 -571
1473 3475 -293
2080 6189 -683
7218 4388 -890
1822 9014 -466
308 6909 -868
1626 8866 -509
3465 8222 952
1935 8679 489
3285 804 -227
6254 4992 -973
2026 6327 -247
7515 6919 717
3891 6603 492
2478 1703 183
7872 8809 -949
1580 7692 -763
1226 7043 792
9208 8377 -431
7370 1980 7
8792 7076 947
6628 6479 -995
7682 4803 -862
6509 5073 -298
5801 5959 100
6872 4198 320
2870 3131 396
5354 6106 -616
2727 1633 -606
3807 1039 -441
5044 5629 155
3023 983 -903
4879 9473 -321
9259 9519 -646
163 3419 212
56 3124 -960
907 8119 223
5799 75 -122
2309 7122 971
8851 5473 948
9353 9491 989
8833 775 236
117 5949 189
3009 3229 458
5561 4623 701
4964 3973 680
6561 7062 942
1326 714 255
7749 7108 -195
8477 2472 -448
5496 1974 190
2372 8132 -915
423 929 779
4404 6611 -102
6803 6941 819
7881 878 -345
6456 568 -546
3332 7561 75
2730 3355 -894
7335 6279 -767
3494 3940 -417
2372 2466 972
2428 8758 -343
7627 658 -887
3110 2302 -391
5008 2244 -86
360 111 -266
8499 4705 803
565 1173 402
5324 896 -240
7583 5149 -889
9611 3083 -931
4474 2002 348
4604 4978 -862
8522 1368 -384
6899 9603 331
8258 7180 338
9370 8497 -346
5288 6367 137
2785 9121 -420
1944 5046 -413
7944 940 479
2282 2725 -96
9407 6314 433
3289 4473 544
2356 6420 944
6250 1750 319
7573 2081 -775
5388 7317 -492
8649 7245 -444
4685 7990 665
6900 8611 701
2071 5582 844
3717 3242 -266
533 8128 251
6811 6953 198
2261 4401 57
6438 3193 -300
7850 7948 -515
2920 9536 403
8379 6723 808
3964 210 -315
7033 9250 -689
231 5255 -476
7376 3184 -205
3358 9 -514
3641 8577 -191
4255 6428 -641
4876 696 -499
7173 6049 -826
2951 2392 398
3975 6205 -898
3061 817 606
9404 5850 943
4109 6228 -358
7010 4759 -692
3731 5966 70
1738 3374 -333
3346 4762 209
2268 6250 -857
3415 4048 -647
6225 5717 913
6657 4606 173
1335 775 170
8591 8869 -119
6623 2280 622
5364 9302 -428
3305 762 425
803 254 950
6675 8469 137
6230 9107 -382
5549 3795 -209
7935 596 -174
1177 9432 525
7643 7019 -771
3641 4996 533
6067 3778 928
9516 3251 766
7536 9319 -295
7692 1735 -828
1837 4039 283
5677 7640 -361
8922 8359 -536
1163 5621 -945
4350 1381 33
6401 8016 923
3835 3593 -359
5754 3972 504
7286 7563 370
7608 386 481
8139 2380 99
2790 4709 -751
9664 8839 44
8968 195 939
5541 47 368
9063 8804 -467
3439 7584 86
7035 8231 -2
9028 5361 651
7314 9258 874
1047 3286 -99
7102 1504 921
2938 5440 -626
5725 1629 -523
4472 9221 -406
1899 5447 -985
9428 8818 -732
9420 5947 -656
9586 437 401
9086 7163 385
4758 1992 -448
1204 104 854
1690 2445 -457
5649 777 -448
740 3299 321
3912 2201 38
790 8788 216
7017 9203 -756
7912 4923 896
6746 4455 1
9032 6762 -991
9459 6459 50
1633 544 80
3010 2691 972
881 4549 170
2461 700 -136
8132 8713 964
5180 6755 537
4825 2695 891
8738 3140 390
8898 6638 779
7329 9087 507
5287 985 749
8427 2774 417
8727 1158 552
9598 1334 750
8047 4253 693
4372 4368 797
1832 9122 115
3959 2943 509
1463 2981 -355
2278 4884 635
5298 1603 615
8276 1273 284
5262 5728 -657
2138 7572 -723
491 231 -908
1300 9307 -412
7966 6911 -356
7041 6161 486
2440 2117 48
2692 4990 780
1614 5805 -522
7653 5204 -855
6364 4342 -403
2836 6989 815
9128 508 958
5001 455 -830
9591 8076 -540
9596 436 0
7243 5181 -343
7670 4882 -113
63 6320 262
6322 2838 355
8349 444 -509
3571 6768 943
7912 2893 586
2062 2454 72
1965 6523 -292
8972 3304 -881
601 1264 601
6831 3971 258
3173 4997 -145
6859 8891 297
6209 8969 424
4466 3648 51
2135 5442 -604
7859 3932 698
9291 2374 -733
5586 6430 852
8150 7945 -477
9300 6328 604
6364 86 -838
808 4019 83
2200 4829 878
6446 9097 40
8033 7253 -579
8624 2839 -803
6688 8881 953
6283 9437 -465
8215 8838 443
4798 3115 217
8121 8236 -947
3113 8786 523
6691 3590 41
443 127 -349
650 2743 -791
5290 5228 -667
8452 7683 197
8944 4524 53
2411 8934 842
4943 5852 769
9420 8786 -134
3415 8016 850
3398 2168 103
6218 3166 89
519 6592 848
4877 2459 -819
4894 3629 -75
933 5912 -544
8370 568 -296
1492 1568 890
7845 7773 217
5971 7011 287
9687 492 -166
9366 6195 73
1394 2441 -768
642 4391 -372
3024 4485 -235
7336 8708 -269
5660 8174 971
9040 3858 -497
7840 2448 -235
3836 3511 -789
8635 2645 97
1970 9006 -135
7771 7299 -446
6187 6055 -833
5757 2391 98
5739 6728 -118
5218 4358 432
6088 3402 -123
2804 223 -55
4138 8586 669
7555 838 267
7165 532 459
1463 5833 -118
8469 6821 94
9532 5246 -385
5454 8777 133
6976 4742 856
1003 8341 712
964 6414 193
8034 4450 -449
530 798 422
1891 8832 -681
2525 2159 353
991 588 -670
7453 8477 -64
5617 4723 34
7019 3231 -323
2300 9391 397
3582 220 563
999 9317 -108
1108 1291 -438
6113 6584 -409
1125 4085 -191
7216 8347 -558
4880 4115 596
4377 512 526
693 3226 607
6287 2135 587
2731 8148 -387
178 131 -477
8573 1233 111
947 701 -61
9393 5775 -43
7022 5185 -366
5733 6386 870
3879 521 451
4603 6453 216
5027 6492 54
3844 1357 814
9581 4161 -750
417 815 958
3770 2291 -746
6031 694 -446
2737 977 691
7393 4340 577
8217 6193 -377
7931 6121 -331
4807 3991 861
3001 7506 -485
7532 5978 -780
377 6471 245
6757 3907 950
4327 3511 -879
266 5039 -443
1708 1558 -130
6862 1558 475
2064 7791 818
792 3036 -110
6479 1957 -80
9641 1282 947
9491 4479 -907
5491 6302 -297
7929 6653 -188
7716 2798 -439
7058 2559 -130
3718 2964 220
171 5794 -183
8587 8006 -922
3816 8170 340
3514 9366 598
2348 6989 115
4230 9036 -125
5955 5075 -507
7548 5532 -931
954 9325 -707
2144 3112 212
7199 1780 -478
2931 3170 -561
1735 9402 596
7461 8122 -276
5654 403 879
1494 3376 714
8915 5258 663
632 1188 762
7134 1108 -971
703 6694 62
1412 7061 904
3426 125 45
8205 4573 -329
9626 331 919
215 1129 547
7726 5266 -415
7962 5781 990
5724 4351 733
5608 6470 744
2275 4545 246
1681 2660 521
7921 4581 12
377 1989 -173
281 1182 657
2318 6827 -595
5711 3378 389
1094 811 -24
4761 7264 -192
8440 4421 721
1434 4073 598
6868 665 -360
4326 8136 297
2354 4937 -469
9060 9545 936
6759 6918 -502
3817 6499 387
2493 9011 411
8628 5838 899
1820 6910 87
2772 9487 -376
1861 3937 396
583 8938 -550
8075 8588 686
3216 5864 -889
5060 2217 -587
7329 842 -213
7339 2850 3
4414 3356 -191
4874 8295 952
6890 4353 649
6216 7701 716
977 9663 824
1270 2417 -1000
8820 4039 264
9245 8863 321
6294 6546 -848
7831 1328 -495
9580 8580 818
65 8682 293
4146 578 246
8405 8552 -532
6727 8776 -278
7179 5331 -27
2867 6811 -620
5504 939 -583
8562 2081 -308
4065 9235 889
4755 450 355
7272 3609 -520
3633 3333 -418
4709 577 -495
2812 8537 -867
8201 1387 -408
7059 1923 -316
810 4497 429
8015 5068 -680
9182 1907 -34
3884 3123 -488
1949 1388 -698
8530 770 369
3005 9655 99
8736 6124 417
5725 7874 -808
7281 9527 -367
6731 1281 -834
2282 5233 -733
1710 2584 490
3603 6040 -265
4275 92 844
2305 863 838
5596 7297 -279
6198 8697 -419
8751 3639 -745
7059 9073 804
1020 4081 -65
4691 2535 -582
3118 1151 -565
8481 3043 -833
4141 1247 -652
5982 2598 -182
6418 2597 829
9518 3626 -174
4793 729 856
9531 7144 328
3600 5977 -604
5316 1949 -806
3541 9490 716
4868 3391 -984
4449 9050 -55
4361 6115 -211
1488 6450 995
3548 6900 822
985 8392 210
5909 9253 750
6404 5773 798
9098 6739 80
5037 7371 -726
9567 1868 -353
8823 5159 -137
7716 6360 254
218 7001 434
7045 6240 981
5156 7538 -897
5541 7394 -378
1803 3884 163
3194 5200 379
9042 5243 613
7662 3601 -310
1086 6340 321
5311 5030 921
5287 2553 551
166 3453 -323
6717 8924 987
6837 2736 -868
4514 6092 608
1913 3458 -656
8282 651 -270
785 2017 264
223 2060 -182
2469 1256 678
5639 314 78
8028 7391 425
819 3817 885
2883 2336 89
646 7148 898
4883 4748 718
3798 5967 -515
6059 8992 104
4857 8919 852
5326 9455 192
6714 2146 518
8250 19 872
6529 178 -832
4478 1459 553
1055 1578 30
6272 1169 115
9629 1796 787
7698 3337 -559
5077 2687 -247
1549 1083 -199
4940 8244 -872
8289 9357 -873
3940 8108 -901
1051 8792 -135
4880 9179 981
1754 5499 36
9074 9437 983
3367 7075 -468
2254 4043 55
2349 7027 272
7222 3604 778
8960 6455 144
7481 8235 282
2949 949 524
1492 7875 79
1689 1098 -133
2498 637 -493
8935 7319 593
1368 9093 -135
2390 8795 -430
9324 7946 -899
2647 4810 -359
3373 94 -787
1453 9347 -736
1398 7552 -544
9177 4048 280
3835 6258 762
6173 8082 -297
5915 406 -548
1766 5983 157
8227 6571 -148
4277 5670 -842
1258 3261 -957
993 9391 813
8197 8087 611
1049 3864 149
3993 4681 -53
8474 1370 -917
5576 6631 -121
1741 5606 -10
9041 2020 419
3036 12 -904
9175 6200 906
2442 3430 227
4829 3486 -834
4157 1399 735
5625 1723 389
6042 3129 333
476 1258 -729
8478 6938 -224
8292 8356 140
429 8397 815
4417 6055 136
8903 5268 30
4711 9274 -181
7127 251 -114
13 6625 15
4701 2613 -976
6695 7448 134
6217 5205 -996
4907 6959 758
4827 5325 -341
7630 4965 -871
6652 7407 -167
754 5658 386
9231 8203 -811
4615 5841 539
3432 5860 -412
2035 4364 986
5387 2314 -714
3298 5879 -150
9427 952 847
6149 2382 -931
7211 9184 973
7554 7403 -750
968 4327 -682
7979 5833 430
961 8338 544
6963 1160 -146
3542 1275 847
5241 6859 -260
1138 5742 -587
9178 1470 -58
7486 5221 333
3089 8970 -707
8314 4671 -757
5385 7972 215
5792 4736 673
3009 3048 -480
8884 1603 609
8000 8684 157
3851 3018 256
3427 2005 1000
6859 7163 -533
9334 2722 754
360 6258 377
859 7930 918
657 7668 -644
4307 3008 914
2126 4677 -954
6138 4340 -300
1975 8352 -502
8460 4941 877
4691 9468 614
4703 3305 836
4471 3610 -915
1102 5273 807
6244 9142 -54
5598 555 13
2856 3260 -422
1815 4827 349
3419 9679 -806
2477 8272 483
825 8869 449
7029 4558 -557
1222 6444 -186
8309 5828 -390
8531 4153 -854
3466 6455 944
4538 901 -555
2071 8966 -580
3171 6465 770
1447 1360 -24
3632 2608 -363
6080 2050 492
8777 6684 -557
6912 964 512
4608 9406 908
4158 5877 78
8116 7590 244
4480 6194 401
2077 2876 4
2849 7345 660
7482 12 -275
9399 1182 786
3529 7168 -802
6933 4855 -489
1688 2647 451
5887 4548 -63
2323 8803 -284
306 7274 -128
2011 5628 876
4973 4631 340
331 7863 -58
5874 8246 306
5666 8864 -50
8026 5247 -94
6112 7622 416
8481 5435 893
8455 474 847
4246 3716 739
8045 7467 143
7260 6607 -248
852 5355 -740
1306 2467 -16
3060 388 724
1043 5758 -839
2192 3337 5
299 1472 135
3348 9191 -514
9020 8668 764
2532 1402 327
9096 4411 254
9072 2456 -813
3334 3071 731
5239 8621 -477
8906 3154 243
1570 7399 982
4896 5465 -781
7645 4683 281
1926 5732 -107
795 3226 507
5537 4729 -307
7820 5661 -819
9375 4306 982
4577 7235 -327
8166 9011 125
6355 2868 -521
9585 5951 -598
6265 307 -913
2966 632 724
3047 7928 -41
5020 7138 -625
7525 2712 277
3792 545 -181
9046 6491 525
8327 8940 964
6516 9435 -331
566 8498 -361
2141 2800 649
4292 3817 345
2887 1118 -239
4997 6254 94
334 6255 632
4355 7142 271
4380 6421 -385
2382 144 -529
1095 5483 -412
3770 3230 446
4038 6873 -811
2817 7653 587
2639 7321 -295
1544 6417 -363
1975 5816 727
8287 6726 -934
1505 4779 -453
7990 1425 703
3035 8117 282
6093 6546 615
5883 3217 238
7293 2686 609
1995 7426 -385
6021 4271 -266
6811 820 236
8706 8192 -603
321 604 -352
2169 7092 -709
4269 3192 806
5668 3908 225
7281 4267 -119
3873 1365 -448
120 6190 815
446 3173 -747
8991 7211 -329
556 6692 246
6704 3693 844
5358 1577 -140
7460 4350 -315
5774 131 611
7472 704 23
3596 4729 517
8959 7579 180
3759 5726 -540
5269 5139 -545
270 204 214
1503 6704 -490
6408 7548 -850
8846 8708 -963
8032 4240 721
4897 6751 952
2787 1587 -663
3991 7958 919
3641 6092 651
5674 5412 909
2942 9314 192
1115 4417 250
4141 6597 -19
5277 5211 568
3673 9545 -917
9438 2436 -505
4814 5977 -475
6821 805 528
2139 4015 615
1120 7847 -809
6883 2170 -961
9232 2287 868
9217 8208 -641
400 4754 71
2708 7848 180
377 487 -786
2133 5077 547
1048 3522 111
9179 9341 266
4426 8091 -278
8708 4945 240
2640 7775 760
5444 6757 -497
455 8214 -402
2830 2414 -260
5657 1786 -682
1493 8387 833
7952 6867 -13
2836 1836 0
5349 8627 573
5784 7234 -567
6989 1045 351
8790 8205 878
4299 3496 -108
3725 5762 889
145 487 497
6285 6265 893
3665 7536 385
14 9291 -522
5011 4169 228
3414 335 254
1056 1667 -171
8962 5087 258
310 5933 448
7436 8052 761
9203 5606 -333
1050 8057 562
22 7813 927
4008 620 -188
3482 1629 -500
3215 8343 -836
9633 4606 -522
190 7077 869
8183 208 -301
1642 1910 -53
357 3713 -130
8708 8437 -510
1081 2566 180
9415 9648 -56
4912 2645 -667
7534 3538 260
8781 1816 287
3368 1406 -104
5169 1259 -505
3016 1652 750
4295 5431 809
5969 7065 213
481 2615 371
33 7333 795
5034 2542 -775
6250 5847 -45
8524 3483 -866
8368 1182 -861
8756 4258 -907
6269 9538 797
2228 5240 105
7760 960 -352
1733 9634 123
5312 2689 108
3602 7956 158
3818 5894 -895
1052 4543 -739
5662 4599 478
3906 5444 164
311 5595 -249
8255 3198 644
1838 8609 -720
4454 6182 929
3207 9612 -767
6969 6710 634
8983 4434 290
9265 9352 33
7936 2538 305
9131 4535 641
4087 9326 -223
7664 8043 -563
151 8464 192
6326 2460 -314
4807 5588 -696
8422 1094 263
4429 8908 -968
5979 5347 276
3510 2594 -323
7518 1099 -327
2682 9493 -22
7872 8765 137
8987 3315 456
725 6235 229
909 7063 -797
1137 3708 924
110 3973 759
2331 1791 413
8721 5576 -28
3920 4538 -294
5379 8934 246
1468 3385 213
186 8198 391
8825 227 -144
1267 4311 -941
1507 6854 573
813 4686 -174
3099 2296 102
2671 9214 383
5544 4499 -783
6475 7276 -499
2099 6832 -237
7752 4650 99
4562 7751 742
115 6212 -865
7201 8457 -445
6039 6111 453
1795 6379 -943
9239 4577 -693
3518 1515 -411
6157 8455 -249
6073 2224 538
7663 9570 -720
1805 2394 970
9423 2274 -896
7905 3687 -864
7037 1733 -386
2944 3552 373
8749 9668 909
952 1621 -34
7078 2785 507
3907 108 727
8828 7844 -699
2158 7130 -240
2218 1219 325
2824 5456 -9
2232 4934 591
1434 8432 -300
148 5119 -907
6615 6969 749
1879 9611 -347
1499 6191 203
8005 9287 412
1622 9073 -200
9098 4219 342
7430 887 787
5178 4623 -581
453 1757 -465
9313 9389 -968
8307 433 603
6001 6485 646
261 6379 43
7976 8001 -841
8784 2505 261
6416 8669 839
5205 458 250
203 6309 310
2721 9535 -668
4692 1253 -699
3635 1406 614
7357 2494 -929
4515 3422 -365
3791 6448 -630
1541 9213 21
912 4815 -715
9323 3213 -875
4405 789 37
9306 9624 -86
6914 7313 -166
6473 7150 -565
7984 3903 -859
2478 8614 -946
2743 2728 64
2091 3417 735
8496 1721 285
9534 8003 0
9 4614 -941
15 3658 720
5025 2595 271
6082 1480 -994
1084 7620 -510
1700 4491 -819
5746 3172 703
6528 1850 -320
9383 7235 880
2463 1979 488
5841 6258 -434
1485 9299 841
6817 4212 185
1219 1044 -523
366 20 -658
3627 5585 -939
5020 752 935
5833 774 -362
2351 2109 -485
7552 7218 -431
6383 7805 -596
7378 6598 -713
5216 7794 604
4306 3221 281
3428 4064 365
7680 783 -521
7570 3523 -268
3764 3937 644
4712 1909 -452
6824 9284 565
449 9329 -284
593 5935 369
4678 9331 19
5948 7375 -783
9230 7473 -392
5493 6991 -922
5909 5121 106
1511 9028 -418
3925 5352 678
8374 279 949
1848 6323 -810
6251 4962 -504
3603 5098 611
7343 6992 433
9561 2053 142
7137 9023 401
3207 5128 333
9451 1646 38
3922 3057 -793
98 7832 -734
3829 6457 398
3245 1639 925
203 5741 -601
8658 269 226
6756 7698 91
9013 8171 7
5763 8207 505
4746 9538 40
647 2810 -108
7974 5785 36
8388 6874 637
6883 1054 -986
589 7454 224
3689 8780 -87
684 5808 868
8548 6473 -600
9121 4748 872
3276 5175 725
5202 5761 -923
2697 9592 -522
3060 6140 -479
8549 8397 242
3961 6032 336
3507 2885 -525
1851 9591 250
7471 8017 688
8425 7830 -115
8745 1657 -119
3005 3747 -521
1863 6549 -12
6877 4957 204
4583 6621 -67
1760 8276 837
7690 67 -469
5372 1737 -481
8070 1139 -358
6242 198 -55
6582 4448 739
9229 9683 938
9543 5476 -73
1869 1303 817
4793 1811 -136
7612 4536 160
7877 1995 477
8420 7858 625
4431 2302 -519
281 4494 282
6606 1140 -944
3125 7702 -262
3812 5923 -560
5203 4884 -397
5062 4400 -296
3420 3764 -216
3174 2588 289
1608 5556 -281
352 6399 450
5209 2581 -814
5223 5507 -665
2792 6379 -898
4729 1226 -319
7929 2717 132
9229 581 -136
2973 2966 -447
2064 2079 -561
3791 158 749
9601 3418 892
2572 5023 438
5562 2227 -673
2873 2029 -138
9450 2054 802
8762 4344 -199
344 1104 -995
1601 9492 375
6484 6078 -863
3865 5493 659
6681 3170 624
2808 4523 679
7625 4230 744
6645 3481 -430
7936 5232 343
4834 7779 -911
9358 5555 -37
7801 7670 -495
6044 627 -958
429 9412 816
5549 7812 -292
3006 4980 528
1965 8730 -69
8305 7143 -224
2056 1837 242
5317 1753 392
2702 6292 -215
2003 8528 -941
8839 285 640
4763 5830 -75
5355 8595 -218
5131 4984 427
3965 9646 154
6863 6394 -596
4865 7423 978
2755 961 -526
2615 909 -712
8743 4751 -856
5648 3796 -742
9548 3437 -428
6418 5715 702
8661 1949 -336
3423 4000 -107
7791 5700 568
7352 9085 26
1059 4660 -419
5477 4952 -229
3338 3808 -566
307 1147 -273
5791 3981 986
2896 8090 498
6287 957 177
2900 2030 -261
8969 9417 845
496 4885 359
1749 4091 -245
7854 8679 145
2395 6118 -595
8989 1103 759
6245 8109 829
6035 1321 280
9594 9604 -725
9024 4718 349
647 6877 -332
2645 6875 651
9403 455 993
7794 1206 528
817 4959 -354
7792 5942 -684
9116 1308 -528
4018 3860 434
4753 7800 -688
8282 241 26
499 6415 462
4388 4636 213
3807 6065 239
3753 2428 882
3346 2798 707
5001 9618 794
2444 4300 702
676 8401 -965
9234 8867 441
1391 5911 44
121 7338 -807
5251 3229 483
3771 8353 -530
1245 6354 -237
6950 5731 -714
3991 5558 201
7957 1995 -377
8155 4135 232
9071 9011 263
7271 9349 375
2616 4718 -280
5471 914 876
4572 1257 171
7842 8455 796
6135 2969 -250
6087 6939 -759
4082 4424 -29
3197 1271 812
6768 8637 243
5825 558 10
934 6597 -577
7966 8199 492
9301 6398 -642
8551 5013 39
7297 7687 -79
6073 4582 -38
8096 4363 686
2770 1308 -393
4667 2970 -366
4837 9289 402
6210 4347 -348
2180 5946 225
43 8604 -791
1393 2172 610
7998 3034 405
7163 8964 -886
9519 3868 -411
4928 5616 -189
6883 4442 -189
3982 3570 -785
3107 5982 -597
6659 877 231
2889 7932 -849
8323 7937 -129
1632 6367 -358
4673 3752 -222
6457 8521 -770
1687 7169 -356
3913 3863 -561
1148 6371 -111
2719 6671 -274
5882 2087 -18
4864 5762 -651
2334 71 797
103 9052 -863
2149 3407 -15
5505 5484 -86
9240 2340 -270
4320 9265 42
4056 5067 260
9028 8857 -336
4727 2555 -998
881 3942 332
3885 3801 -734
2312 8283 -567
3971 770 -552
8448 1662 490
4636 3942 -988
5987 5235 852
1197 1955 931
7124 7825 -878
1195 4029 -812
5071 2224 -85
4653 5301 -71
9459 6938 -317
5454 5037 336
630 6829 842
7846 3090 -474
4006 1755 644
7660 4543 -391
1319 8103 -754
5301 7249 -549
6007 2420 -533
848 4630 -782
6698 2183 157
215 7043 804
3660 2450 786
6729 9088 -296
5389 4482 228
7740 4096 12
3931 141 977
3920 4566 282
4629 533 -894
7519 745 143
3843 1135 -289
3523 3476 -733
1935 1016 653
5206 4933 426
2109 2717 -890
2688 8826 368
3030 4447 256
9475 1139 -552
3529 390 -767
5251 2930 939
9189 3972 -387
7670 4360 170
8839 8926 -859
3082 7825 274
5800 2212 -926
1435 7824 297
1513 7018 -304
3838 3219 -81
3813 326 -101
7173 3083 535
2129 6626 603
9546 9354 -749
1050 5444 837
3617 346 -734
8502 8815 -885
7572 9308 952
6082 8703 877
9573 4096 -945
6940 5079 810
6413 2398 -139
8145 9282 162
7323 7282 -603
72 6163 -593
2617 2209 -64
8851 8803 -82
7258 526 -991
4752 1497 -103
1710 1592 162
8940 2204 214
2258 533 665
9019 6502 865
9331 2778 -178
5349 3795 947
457 7254 -783
5563 1267 -696
1791 5801 804
8344 7398 -905
8132 8983 235
6681 9394 -176
7506 8400 -836
5189 4663 329
4338 900 702
3624 1171 -979
6639 9305 -707
4287 3696 189
39 7684 493
3922 9059 -890
7273 6239 962
5550 660 -112
8505 8935 -276
3262 6015 174
1092 8327 435
7565 5495 323
7162 2771 -765
7254 5683 -992
8353 3206 -271
7047 3512 -337
924 1595 -113
2639 3126 -84
14 2969 982
507 7811 -118
761 4729 -204
5329 2407 240
1548 7495 -150
8687 6514 12
7539 1567 269
4668 4899 500
7257 4612 653
3072 9411 783
3708 1297 -745
2006 537 784
6735 4222 -497
8444 7240 -743
8910 2984 -473
9058 2607 339
4539 6185 -958
208 9036 -729
8156 7799 687
1179 4783 555
328 4391 -557
676 3757 875
819 2664 841
598 2810 -9
2574 4880 -457
4995 2851 -868
7007 4349 832
922 2714 -827
2142 2909 184
8123 9132 -983
7000 6482 35
6314 2695 -217
235 9355 -197
2938 8977 974
129 5706 -710
9672 8777 -459
5554 6442 -969
5133 1248 -27
3172 3846 -97
5302 6609 -858
3064 2469 -78
5531 2392 621
2357 8160 523
3076 3378 -747
