900 2920
728 509 613
227 327 69
482 185 657
341 836 100
762 85 883
527 215 970
585 846 10
796 621 727
725 30 235
429 146 884
453 819 748
427 739 347
772 204 41
339 166 530
54 770 676
333 122 364
33 712 500
355 716 853
271 109 999
77 347 710
580 687 923
126 762 63
848 63 489
357 534 697
57 694 691
709 19 925
728 399 827
744 188 40
252 858 260
510 186 259
558 648 658
644 316 981
436 762 845
404 741 512
508 753 249
38 663 767
9 10 634
830 156 308
776 572 539
438 712 500
90 633 918
321 813 90
351 697 29
146 735 104
339 660 326
595 233 454
822 831 178
101 28 954
312 301 56
664 539 625
113 38 574
95 11 100
510 473 980
654 6 391
163 43 34
288 480 763
120 35 619
590 62 308
498 312 295
894 349 407
412 10 882
329 51 778
224 362 749
448 620 640
391 698 880
62 756 971
91 215 654
487 784 77
253 436 871
741 171 143
35 144 716
124 134 215
214 189 583
837 618 899
845 358 373
756 417 906
543 260 140
213 643 556
755 350 586
290 564 50
271 385 666
160 743 894
104 739 958
860 733 170
274 825 599
42 824 338
8 216 430
484 656 803
241 393 607
261 538 905
225 453 638
442 273 142
603 560 224
498 192 338
789 792 423
769 214 477
70 888 80
569 760 165
33 80 279
713 241 563
586 777 524
575 187 404
199 489 957
582 155 778
150 132 972
672 382 533
852 713 888
301 423 412
367 770 881
237 633 457
227 304 53
530 761 432
781 752 75
898 688 47
756 317 203
454 791 250
121 506 939
614 861 224
394 105 827
511 212 702
308 703 946
855 705 592
203 529 839
195 899 479
728 699 223
653 280 506
180 406 204
138 886 725
44 56 194
637 274 516
718 554 801
546 542 978
639 747 896
592 771 874
807 743 935
11 221 759
755 423 429
514 690 176
738 760 824
672 317 358
799 215 641
372 182 392
328 225 378
406 479 277
385 802 112
829 607 954
2 668 413
228 474 882
561 519 987
521 262 347
753 564 463
507 888 691
227 445 950
845 66 481
725 492 819
747 459 281
756 301 830
159 110 136
95 665 252
340 387 224
338 875 905
64 59 912
683 657 18
843 174 181
96 621 507
673 642 286
714 317 167
870 566 79
550 482 229
674 58 477
224 85 416
264 621 399
567 458 519
706 217 121
611 673 175
52 229 349
766 136 894
790 530 155
411 559 429
469 585 512
471 658 581
70 460 839
68 457 318
783 479 558
25 736 648
829 452 882
415 189 904
594 762 424
241 65 704
193 579 957
878 186 780
98 76 567
67 618 734
137 742 134
318 177 557
254 141 931
372 813 611
656 210 491
180 561 77
385 339 912
437 121 131
256 420 48
468 260 461
559 785 186
814 887 372
564 303 213
2 623 37
606 294 860
760 854 723
374 709 419
775 140 549
362 525 534
511 809 88
300 414 635
340 82 362
669 212 951
266 387 879
439 517 53
2 334 589
128 5 332
230 497 197
120 104 628
679 416 991
199 148 771
494 577 416
554 880 482
31 580 481
593 430 975
497 151 569
734 744 663
656 805 64
893 476 211
313 711 453
339 573 665
410 5 750
187 745 158
869 317 440
705 733 381
488 587 692
687 370 947
602 853 974
442 249 125
226 23 344
208 771 608
567 347 460
415 738 483
35 165 383
698 736 159
508 45 689
765 134 128
834 337 147
479 696 430
408 783 878
265 690 490
641 304 27
783 109 1
894 605 643
129 123 519
793 228 144
30 531 416
77 488 269
247 253 910
253 555 731
294 16 404
735 8 55
647 439 701
269 715 208
303 132 459
678 545 698
824 520 123
287 351 67
790 888 545
338 740 852
229 855 477
94 116 661
661 68 590
886 452 590
388 75 271
823 881 301
69 279 241
515 558 658
261 487 28
466 647 766
23 467 101
457 475 168
317 165 573
838 191 947
699 741 936
570 804 431
426 620 81
708 38 148
788 624 641
80 857 105
457 41 522
892 144 276
642 90 205
232 619 255
32 275 726
98 57 160
380 618 254
398 752 259
26 307 251
53 155 771
199 476 477
652 873 128
86 541 637
376 594 481
557 119 438
493 123 171
852 704 839
857 259 445
615 859 914
448 626 156
364 790 725
748 554 550
375 608 525
210 346 955
460 343 421
778 142 465
17 104 409
522 615 814
887 697 432
126 219 204
68 107 101
793 342 198
768 614 196
352 616 716
743 513 346
193 782 444
248 170 142
837 811 725
840 826 812
717 839 295
85 611 762
610 432 633
268 877 856
276 58 300
140 411 793
393 342 768
196 514 174
83 461 578
650 321 874
130 423 187
68 182 192
233 166 908
495 900 756
410 476 443
63 199 936
280 69 564
668 843 600
38 225 470
732 39 745
586 156 97
418 251 438
802 641 561
526 617 587
329 497 256
506 336 986
699 670 428
509 296 654
96 110 730
637 412 735
209 527 452
472 127 764
167 529 812
477 100 443
146 772 614
617 582 25
851 362 888
238 295 996
439 883 202
872 368 12
547 170 348
199 748 467
170 511 160
254 529 902
852 489 768
642 81 221
115 93 311
136 162 805
853 583 180
430 218 750
508 754 589
819 35 287
8 105 84
161 752 473
216 846 727
489 873 680
378 793 406
74 621 87
747 57 516
491 179 32
802 396 765
667 326 471
659 678 521
675 873 266
25 357 59
591 736 262
614 269 167
403 749 212
729 548 848
178 856 23
759 677 590
149 401 661
521 744 821
626 414 593
492 431 46
151 368 292
109 466 291
152 589 170
684 200 46
53 10 472
131 156 847
395 761 677
377 285 44
703 81 533
136 772 168
365 465 17
629 317 627
593 219 894
624 593 451
330 720 295
178 498 967
120 275 419
632 223 998
701 325 92
114 158 767
752 426 301
766 196 646
572 566 755
895 745 186
783 742 971
571 867 427
329 578 522
101 360 697
262 58 97
765 527 499
53 146 331
228 855 464
50 817 750
496 193 935
661 455 943
426 564 573
338 717 797
703 768 242
447 125 531
673 809 568
301 336 521
19 882 812
191 396 71
564 504 749
419 304 91
2 277 52
610 557 337
764 303 863
638 868 609
280 481 453
402 406 151
13 517 341
729 579 366
52 650 325
522 400 26
536 797 330
734 431 85
113 317 498
815 846 332
451 126 964
199 77 95
276 545 387
858 128 144
789 752 55
680 555 434
842 680 422
639 632 581
312 541 82
298 817 554
687 278 46
797 528 38
433 180 844
867 388 3
627 88 489
340 756 560
661 386 425
63 609 328
291 655 111
295 668 183
356 4 641
167 140 437
544 1 852
627 605 557
165 472 950
453 523 637
574 53 498
811 668 797
587 422 334
103 737 325
800 403 562
75 440 749
35 203 523
447 26 857
213 171 453
91 249 938
766 89 374
749 268 701
24 802 935
383 640 596
101 776 380
379 882 544
632 298 335
180 473 407
523 314 719
234 451 656
755 759 91
258 111 165
648 658 839
749 780 679
719 254 224
315 779 9
558 674 196
708 86 372
679 144 574
886 619 947
323 58 492
881 212 499
706 218 871
635 737 690
205 780 3
82 332 316
850 434 993
673 167 203
50 330 779
395 42 925
487 302 980
462 213 354
46 123 442
680 273 455
598 251 202
424 369 360
583 834 826
375 533 620
704 336 549
422 550 149
845 448 91
71 525 243
254 561 17
177 889 171
748 286 281
39 426 373
637 702 950
555 96 421
235 299 794
232 719 476
741 395 901
344 295 668
380 317 783
138 291 102
545 756 353
169 28 895
362 77 359
532 662 3
17 134 460
32 744 461
668 340 318
448 100 587
164 177 267
165 181 207
227 563 196
145 548 381
353 109 131
294 332 72
779 554 757
770 577 642
668 214 442
627 422 988
767 239 648
761 621 69
287 361 240
540 892 871
859 536 532
761 804 189
302 207 59
519 530 175
146 393 78
279 471 932
846 480 373
32 93 86
82 236 534
33 888 254
803 397 696
179 531 491
765 77 201
658 801 16
854 404 961
183 119 88
142 509 693
701 611 914
226 13 636
159 132 476
683 660 975
694 369 832
595 375 964
634 613 541
326 524 49
695 500 337
891 544 671
520 491 596
666 387 289
493 100 396
785 71 52
575 729 310
147 1 459
632 281 19
504 722 786
480 223 879
416 866 825
811 888 359
802 507 375
381 109 315
587 468 915
483 467 293
696 162 51
314 849 409
152 439 47
602 828 13
386 302 24
389 431 958
337 95 559
842 213 88
824 645 341
43 734 331
467 886 895
697 821 496
239 872 112
556 838 874
86 450 890
461 751 272
533 431 778
734 589 471
524 854 521
156 333 311
862 5 115
555 290 467
269 93 395
201 38 812
251 652 651
215 470 538
235 336 842
818 669 722
651 704 550
475 243 275
72 307 243
129 344 378
442 267 51
341 600 616
732 563 734
677 658 627
198 734 464
97 355 582
101 119 281
319 63 121
198 294 357
81 676 996
245 203 186
302 4 781
635 589 892
542 640 312
723 606 958
862 774 821
887 215 728
756 424 300
796 233 249
411 315 694
779 52 82
404 208 351
411 751 467
671 635 457
558 505 417
679 359 779
46 816 216
360 591 923
738 388 80
899 534 492
726 167 877
42 318 367
874 166 704
380 529 378
472 192 655
388 790 671
195 516 206
337 826 534
94 398 643
413 601 238
856 560 952
836 844 411
263 12 579
83 510 543
464 640 472
856 741 816
567 709 234
650 642 196
93 176 617
616 198 955
12 295 479
473 247 569
390 485 205
79 771 135
287 809 677
839 154 234
624 9 293
300 794 190
72 457 555
542 794 934
275 163 70
667 469 684
687 76 550
568 231 282
165 887 390
329 63 394
863 491 645
660 870 476
603 171 523
250 828 681
139 706 381
892 688 58
102 399 942
34 574 935
800 856 866
856 511 254
607 216 187
334 299 397
789 838 188
179 352 243
841 78 161
462 647 798
71 29 952
502 118 69
32 862 1
124 829 924
473 733 162
44 602 109
696 895 538
165 440 885
271 536 814
873 861 17
10 456 671
690 287 47
455 268 253
671 323 946
643 460 802
864 793 860
557 354 244
250 99 315
658 666 21
845 463 285
79 701 87
607 361 903
5 627 706
273 301 307
75 381 734
888 851 75
391 894 18
676 7 581
215 385 990
14 15 612
694 629 40
245 521 736
127 204 835
219 764 157
884 99 241
576 284 438
98 836 698
223 224 301
308 855 968
117 226 181
797 149 561
271 564 847
11 342 278
275 611 69
338 235 692
104 724 404
50 656 616
103 72 190
368 891 98
669 403 624
728 888 725
324 894 112
175 412 749
158 301 673
487 63 695
873 646 244
753 209 327
855 655 708
170 819 279
265 139 893
423 24 115
319 579 851
803 836 598
740 202 155
872 667 141
364 355 914
589 826 571
582 535 865
89 681 493
249 550 854
384 4 875
794 56 513
333 409 899
586 270 359
705 182 411
882 231 6
230 6 170
435 760 487
678 187 406
160 303 166
78 262 166
460 742 5
583 532 698
514 208 813
301 690 107
697 72 966
69 397 616
56 678 429
539 580 646
219 156 725
381 638 630
716 70 388
66 171 623
333 365 776
448 425 263
315 551 440
872 218 469
86 802 404
686 781 503
103 789 960
475 441 113
602 711 620
410 550 823
817 578 455
142 12 411
116 758 124
336 300 119
160 189 250
376 162 708
262 337 256
666 799 672
555 135 987
430 630 458
856 397 619
477 671 99
500 372 871
210 519 736
60 392 362
365 766 640
635 150 745
63 440 649
395 218 606
88 48 700
580 101 666
35 392 62
285 333 507
509 430 17
580 239 908
32 702 856
599 864 133
730 146 306
78 445 201
610 22 715
886 795 375
282 44 760
647 225 708
811 857 438
209 629 771
289 317 393
170 127 276
722 496 423
419 701 330
672 431 996
841 899 223
572 519 902
679 156 191
364 685 811
598 171 658
232 747 819
442 708 886
403 702 251
87 790 764
202 401 101
250 750 570
509 264 284
342 593 542
441 256 906
82 651 537
61 308 383
111 210 260
176 515 410
824 741 472
186 713 733
859 777 565
344 560 686
422 580 517
9 347 714
811 91 827
496 14 49
19 115 682
270 383 523
524 545 370
504 392 482
682 558 132
61 774 354
635 638 624
367 513 286
387 92 782
807 710 942
519 129 567
493 88 272
597 807 978
176 704 638
146 512 810
615 701 995
317 724 859
111 771 643
589 736 892
380 349 160
443 291 544
35 855 837
108 257 576
369 363 316
241 438 390
116 78 399
817 20 698
390 274 83
30 109 178
43 137 56
166 889 113
450 650 108
482 197 712
808 678 652
75 304 502
840 306 2
398 637 420
602 677 410
286 552 876
275 499 582
630 489 126
723 586 517
899 347 728
221 332 521
483 6 995
200 523 377
134 522 478
885 240 94
50 234 741
149 318 789
133 15 716
8 317 272
761 285 942
74 45 364
365 785 746
760 183 552
637 370 56
621 233 71
795 12 397
526 632 857
817 460 193
795 156 341
599 379 851
195 390 532
42 469 690
93 291 556
260 817 616
43 35 981
623 355 51
722 79 114
427 399 866
180 241 314
328 876 382
16 232 883
251 847 54
179 508 200
619 335 632
782 226 248
172 440 623
222 276 756
891 9 13
181 674 257
179 524 144
179 254 557
576 674 195
701 283 466
550 5 838
283 145 657
867 135 897
250 549 585
647 57 563
270 461 180
594 531 66
568 287 296
737 543 726
480 65 328
681 489 869
43 793 428
7 589 645
720 780 636
472 93 318
253 698 68
2 804 846
23 196 285
275 59 419
69 800 552
108 107 772
98 789 607
759 816 864
129 276 717
92 154 525
535 294 279
115 87 993
820 529 297
360 478 175
878 527 640
531 773 591
215 125 556
632 241 106
318 112 784
336 353 464
730 414 95
887 702 329
251 351 679
354 170 387
844 575 254
453 556 208
347 820 669
552 200 924
457 853 604
219 108 547
99 885 591
306 584 229
571 678 494
897 657 285
660 702 491
202 254 713
720 378 658
350 699 546
373 405 721
260 17 6
263 458 367
276 615 293
497 83 779
642 551 569
761 534 815
425 329 465
28 15 148
693 426 424
612 388 678
766 162 655
204 308 984
22 666 822
482 272 987
554 387 525
556 530 458
292 888 200
619 444 949
24 340 727
399 361 555
704 312 582
569 625 351
272 841 12
457 455 346
621 219 546
674 727 87
694 744 231
442 630 402
251 761 685
105 459 205
66 420 110
718 303 178
423 417 238
609 352 838
259 413 657
584 564 366
550 92 958
604 520 880
879 363 526
236 595 307
63 192 356
120 788 742
49 1 314
65 157 522
799 330 954
233 539 181
555 848 65
625 368 573
853 649 473
4 168 80
174 659 50
44 708 681
456 129 612
892 420 683
29 791 1000
169 438 233
67 591 441
754 71 536
77 155 764
572 110 164
703 683 129
362 821 657
673 27 448
731 442 729
129 170 698
831 416 732
698 14 241
311 301 490
636 644 775
263 705 917
674 661 287
261 289 454
592 33 343
231 819 176
359 724 572
269 431 228
766 442 783
472 883 749
478 106 257
292 505 724
623 899 622
30 857 531
561 762 144
423 620 430
50 524 533
319 279 34
283 150 150
408 304 802
358 136 373
813 264 150
148 205 453
331 456 28
451 488 428
580 484 338
784 271 945
419 90 873
159 887 827
312 349 241
467 107 841
748 60 168
341 829 508
279 425 991
577 659 142
753 531 486
423 677 433
558 238 790
838 843 265
50 211 11
3 320 357
18 476 222
542 413 883
424 467 139
193 428 102
729 695 463
534 804 615
66 79 340
360 20 893
636 86 908
298 393 776
585 851 781
845 453 496
614 657 394
835 788 760
350 552 257
811 784 583
894 244 792
62 52 572
846 50 95
891 202 549
92 775 934
13 705 149
668 881 202
464 10 668
637 734 276
451 880 690
855 176 469
862 720 839
316 48 559
820 233 719
661 285 67
845 649 165
258 303 227
68 714 908
345 512 463
91 749 369
801 501 66
321 4 163
121 252 764
600 298 229
795 394 289
837 580 841
384 895 804
420 211 209
758 2 237
850 545 958
893 637 485
193 558 751
203 152 802
878 173 55
392 144 920
477 786 578
557 223 229
204 538 282
414 373 240
488 322 53
688 839 645
662 822 521
185 592 229
334 717 267
748 236 43
345 79 749
663 587 284
560 28 125
838 569 983
387 284 32
689 207 274
648 541 407
226 886 257
796 765 925
852 254 747
74 874 882
412 403 443
391 730 480
107 339 145
697 311 696
161 707 272
328 791 53
122 509 645
869 349 461
365 268 544
631 787 84
72 669 716
360 557 79
197 319 769
671 283 198
865 131 478
521 618 712
14 706 571
75 684 440
503 685 668
701 233 858
275 36 362
25 408 710
259 49 364
124 722 540
516 104 445
97 871 438
480 246 489
164 8 848
13 275 521
327 673 133
651 686 981
799 579 554
92 79 48
328 727 995
781 85 273
811 526 337
872 562 948
795 873 382
598 392 73
82 332 547
688 678 308
148 157 150
293 251 974
400 608 733
323 200 473
743 196 549
826 389 233
461 104 742
377 726 183
900 287 624
43 3 913
866 445 781
782 627 166
425 529 876
858 76 786
396 621 802
281 396 640
757 215 473
642 746 524
12 499 378
63 148 30
458 286 946
114 208 833
586 861 203
696 609 986
703 781 457
604 145 532
244 869 534
637 533 756
597 769 929
665 48 28
828 229 322
612 583 435
501 510 222
838 210 755
858 846 876
377 352 635
593 321 487
520 597 359
162 207 904
22 289 967
472 478 468
121 500 310
54 500 970
235 843 372
887 87 511
218 630 562
578 705 634
359 491 343
115 568 717
779 699 205
599 1 323
604 32 500
876 826 947
466 353 275
118 273 193
885 605 14
833 846 408
698 790 398
122 118 535
485 441 888
327 242 584
652 245 92
776 62 432
716 759 243
582 296 838
526 343 138
407 772 868
576 816 806
700 119 396
708 707 210
387 457 626
781 574 617
520 685 419
251 182 528
873 529 587
657 106 938
168 585 478
78 416 35
467 835 408
454 417 637
828 11 522
724 514 102
689 728 440
618 892 740
578 482 810
632 22 980
853 535 161
60 147 760
562 342 5
822 602 241
835 566 997
414 736 992
150 329 778
589 864 629
289 715 891
723 663 956
511 849 668
28 34 840
325 809 622
829 244 507
238 178 928
620 360 725
311 531 832
591 279 69
191 774 25
154 72 531
539 520 565
457 755 947
749 752 559
184 420 647
378 624 174
399 193 234
23 775 928
576 235 360
136 329 357
869 847 394
583 180 934
651 639 698
654 788 440
28 583 440
100 829 872
401 527 125
784 572 688
898 751 321
866 202 987
416 732 220
563 111 971
818 75 685
559 665 380
359 550 367
377 378 884
725 719 729
434 753 177
57 597 462
205 282 19
184 142 995
453 871 83
225 598 758
82 523 597
22 446 540
581 166 420
321 152 601
297 830 982
375 438 906
22 687 995
712 699 220
643 807 81
796 774 210
550 239 118
33 881 168
527 466 398
111 380 722
695 517 503
125 859 212
200 42 455
351 262 49
715 685 34
525 655 647
122 288 19
774 712 737
163 317 866
887 700 839
706 339 626
673 614 461
285 91 174
885 568 445
502 96 91
704 829 802
649 527 588
305 894 302
110 215 833
451 136 947
8 145 761
651 448 552
379 261 551
11 508 853
653 563 445
118 103 229
60 443 673
83 288 230
341 504 515
354 868 253
301 105 919
465 249 166
577 294 569
30 622 279
758 415 663
92 360 498
112 369 611
815 273 709
804 290 625
565 38 837
201 831 665
620 567 710
596 191 973
449 282 108
51 113 46
636 141 943
182 91 100
143 125 821
323 307 774
135 430 209
709 20 829
635 497 833
47 280 401
238 116 124
733 71 763
649 200 531
461 104 733
456 61 718
898 762 291
570 822 904
793 120 822
845 381 879
388 583 380
98 338 297
308 840 892
296 28 458
208 58 217
845 497 866
567 458 237
372 867 580
389 606 145
189 649 853
239 56 483
27 379 522
261 568 231
565 661 838
465 791 581
55 524 386
835 734 756
728 43 795
821 846 222
570 663 509
704 893 15
452 618 622
447 354 445
691 123 379
57 287 273
233 95 507
450 499 770
753 224 758
234 437 952
285 621 620
524 191 358
322 660 866
250 723 871
675 560 678
291 837 925
106 101 633
514 518 421
5 340 690
396 282 850
219 865 18
838 388 947
407 860 884
145 9 913
55 11 562
407 490 250
586 339 846
247 645 319
401 739 849
282 426 319
223 23 266
309 507 386
612 748 73
508 220 990
324 561 155
597 377 144
402 332 305
575 430 493
276 58 211
636 556 112
591 831 831
516 526 941
16 626 801
225 632 735
84 185 594
308 651 946
840 832 855
113 50 885
73 580 66
115 283 308
825 483 326
488 341 916
7 641 23
327 611 476
145 789 183
424 462 904
85 146 588
401 805 329
480 24 525
776 489 130
717 748 529
830 644 478
5 527 862
315 149 978
560 632 858
68 478 751
539 514 538
609 777 902
99 830 176
18 730 982
224 871 493
184 545 603
81 10 253
95 185 687
789 73 351
350 78 615
449 402 729
118 581 296
477 76 115
472 666 614
647 200 66
461 313 875
79 711 349
718 180 934
160 521 758
674 167 242
33 45 81
855 517 805
221 679 670
363 303 299
95 550 808
198 732 850
741 17 800
839 512 982
709 283 426
651 663 811
300 24 638
661 541 105
869 502 679
375 218 200
802 230 690
462 123 123
17 859 485
428 29 168
727 92 239
493 39 513
732 9 65
739 83 637
473 837 783
765 708 954
29 581 860
191 405 932
801 121 839
427 517 726
381 129 836
368 846 546
4 375 775
865 604 426
541 143 844
738 287 945
842 598 80
413 658 860
825 489 317
391 171 542
429 678 95
735 14 4
463 143 444
890 740 621
313 452 613
5 263 449
884 21 368
236 109 141
64 698 421
681 598 654
660 854 726
763 372 162
285 362 402
367 404 788
816 24 182
729 267 592
343 277 121
75 770 514
565 586 47
741 694 827
568 748 822
491 82 663
653 769 877
623 644 7
390 641 712
411 102 68
679 224 196
809 142 915
797 56 535
638 316 518
646 278 329
785 686 371
511 303 469
302 660 99
498 875 697
876 865 267
764 845 133
464 631 882
453 544 887
289 492 480
613 380 137
540 555 363
213 519 346
194 272 819
413 175 698
781 398 752
202 171 516
836 138 320
548 562 180
216 39 118
246 660 83
194 784 408
651 423 169
486 276 538
853 799 514
263 326 217
824 378 643
634 399 729
387 821 540
671 806 981
105 810 764
247 125 102
292 277 293
373 411 333
776 285 408
368 479 781
406 789 153
323 81 737
440 316 334
174 353 751
478 300 582
177 40 628
211 579 978
151 558 31
527 848 704
236 686 872
253 628 4
646 358 920
395 414 654
752 367 914
485 215 552
716 446 18
182 736 884
289 360 672
589 537 2
161 32 550
85 197 314
233 572 835
206 236 504
92 784 30
181 875 577
710 884 171
413 57 570
95 506 826
588 123 836
93 579 140
539 632 878
897 399 886
30 59 658
711 46 365
536 555 39
142 234 281
509 365 822
90 721 938
380 368 712
530 697 608
625 376 63
544 310 292
115 578 466
596 172 700
60 461 854
38 244 832
101 510 477
767 81 365
20 794 568
368 857 764
881 450 50
215 221 681
362 386 137
162 640 317
355 429 535
555 336 736
678 604 403
465 886 990
41 656 162
171 471 227
650 833 633
830 745 999
129 51 188
426 373 599
44 718 32
313 784 196
466 51 478
415 650 689
594 535 787
66 368 641
2 642 682
839 381 336
796 432 125
814 270 479
468 663 752
813 587 522
845 643 363
293 858 754
576 410 665
765 815 919
197 203 192
217 142 830
766 14 103
36 276 780
283 7 597
133 427 43
512 556 375
612 749 393
52 74 165
116 200 665
727 140 388
428 48 89
238 632 944
490 323 995
693 372 669
180 365 764
808 4 56
53 759 205
219 294 9
132 278 564
313 867 119
59 107 778
330 871 582
473 737 133
648 533 51
876 145 706
496 289 818
423 410 391
658 143 407
633 740 504
841 85 745
129 217 185
196 140 520
686 641 143
209 684 210
198 535 23
17 643 165
2 269 194
306 747 113
868 683 184
29 468 245
294 728 231
46 832 433
196 658 514
675 377 820
441 276 245
374 566 845
160 660 736
29 872 474
796 481 582
384 820 375
218 410 518
131 355 634
324 586 356
442 574 231
892 516 633
362 326 844
203 406 401
594 563 101
775 650 97
599 285 746
162 565 6
698 897 615
478 677 299
189 826 868
693 762 667
466 355 930
88 130 80
447 136 839
365 631 571
793 1 722
254 24 936
710 783 653
103 563 83
298 239 781
428 311 624
868 705 463
53 848 196
630 384 169
887 425 934
229 26 752
397 222 170
507 399 324
208 527 651
582 12 417
671 501 610
432 288 142
143 117 721
845 155 535
418 445 351
419 702 316
846 329 227
10 517 805
135 868 438
673 777 306
754 785 972
265 17 42
49 676 636
601 113 513
829 313 651
671 609 38
524 590 189
813 137 814
113 25 1
494 545 973
609 829 923
488 15 130
659 469 538
545 151 820
87 84 165
224 119 348
509 853 480
322 18 715
218 774 632
395 641 201
894 678 806
816 717 696
746 36 928
518 396 413
292 889 474
180 648 879
274 92 260
686 379 938
527 851 599
247 852 678
688 311 153
62 315 994
662 653 135
511 255 550
757 779 543
766 863 941
616 420 102
15 419 351
247 398 851
452 764 719
536 832 932
253 315 1000
423 807 875
875 268 940
561 205 648
456 821 119
119 556 702
831 387 559
418 390 438
558 753 306
113 208 164
883 365 184
2 535 158
67 281 908
606 58 471
801 682 903
159 523 81
402 634 779
433 466 865
670 96 255
67 139 835
88 430 938
891 409 999
342 151 291
326 393 946
123 690 774
641 567 166
